"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","calBatch"
"1",2025-06-19,3332,"J809",3176500,4741365,0.669954749317971,150,0.611703637361754,"A_CON_009","A","CON","009","a"
"2",2025-06-19,3333,"J812",2792113,4427340,0.630652491112045,150,0.590233114457537,"A_UV_001","A","UV","001","a"
"3",2025-06-19,3334,"J815",3048935,4719352,0.646049500016104,150,0.598644382598898,"B_UV_013","B","UV","013","a"
"4",2025-06-19,3335,"J818",2978283,4559536,0.653198702675009,150,0.60254993730343,"B_UV_014","B","UV","014","a"
"5",2025-06-19,3336,"J821",3275698,4843988,0.676239908108773,150,0.615137171513087,"B_UV_015","B","UV","015","a"
"6",2025-06-19,3337,"J824",3101398,4976357,0.623226589249927,150,0.586176401095682,"B_CON_016","B","CON","016","a"
"7",2025-06-19,3338,"J827",3497391,4911876,0.712027543040582,150,0.634687682617696,"B_CON_018","B","CON","018","a"
"8",2025-06-19,3339,"J830",4336250,4924895,0.880475624353413,150,0.726709580419314,"B_CON_019","B","CON","019","a"
"9",2025-06-19,3340,"J833",3377601,4709618,0.717170904306889,150,0.637497461518803,"B_CON_020","B","CON","020","a"
"10",2025-06-19,3341,"J836",3367242,5063960,0.664942456101549,150,0.608965459933323,"C_UV_021","C","UV","021","a"
"11",2025-06-19,3342,"J839",3183347,4827092,0.659475104265674,150,0.605978687463341,"C_UV_024","C","UV","024","a"
"12",2025-06-19,3343,"J842",3040852,4914457,0.61875645671536,150,0.583734401898958,"C_UV_025","C","UV","025","a"
"13",2025-06-19,3344,"J845",2842780,4166700,0.682261741906065,150,0.618426853235514,"C_CON_026","C","CON","026","a"
"14",2025-06-19,3345,"J848",2987400,4765067,0.626937669501814,150,0.588203735838893,"C_CON_028","C","CON","028","a"
"15",2025-06-19,3346,"J851",3189089,5147186,0.619579125370639,150,0.584183819490008,"D_UV_034","D","UV","034","a"
"16",2025-06-19,3347,"J854",3107369,5395712,0.575896007792855,150,0.560320066634708,"D_CON_037","D","CON","037","a"
"17",2025-06-23,3357,"J857",3377290,5388632,0.626743485173974,150,0.588097654426555,"D_CON_038","D","CON","038","a"
"18",2025-06-23,3358,"J860",3365297,5116290,0.657761190237457,150,0.605042389345155,"D_CON_040","D","CON","040","a"
"19",2025-06-23,3359,"J863",2739283,4961648,0.552091361579862,150,0.547315770569456,"E_UV_042","E","UV","042","a"
"20",2025-06-23,3360,"J866",2800112,5185678,0.539970279681847,150,0.540694116283037,"E_UV_043","E","UV","043","a"
"21",2025-06-23,3361,"J869",3272328,4308241,0.75955082364241,150,0.660649287146853,"E_UV_044","E","UV","044","a"
"22",2025-06-23,3362,"J872",2981564,5065829,0.588563885595033,150,0.567240431339311,"E_CON_049","E","CON","049","a"
"23",2025-06-23,3363,"J875",2675370,4626861,0.578225712853704,150,0.561592766681788,"F_UV_052","F","UV","052","a"
"24",2025-06-23,3364,"J878",3231545,4917590,0.657139981169638,150,0.604703027585099,"F_UV_053","F","UV","053","a"
"25",2025-06-23,3365,"J881",2962540,4990374,0.593650896706339,150,0.570019426581952,"F_CON_060","F","CON","060","a"
"26",2025-06-23,3371,"J810",2840726,5081306,0.559054306117364,150,0.551119573887574,"A_CON_009","A","CON","009","a"
"27",2025-06-23,3372,"J813",2773159,4856217,0.571053352846465,150,0.557674561295068,"A_UV_001","A","UV","001","a"
"28",2025-06-23,3382,"J816",2937616,4627945,0.634756031024569,150,0.610101837278742,"B_UV_013","B","UV","013","b"
"29",2025-06-23,3383,"J819",3132600,4590086,0.682470873094753,150,0.636555263034962,"B_UV_014","B","UV","014","b"
"30",2025-06-23,3384,"J822",3345260,4571004,0.731843594973883,150,0.663927828382469,"B_UV_015","B","UV","015","b"
"31",2025-06-23,3385,"J825",3062618,4531427,0.675861709788109,150,0.632891098945602,"B_CON_016","B","CON","016","b"
"32",2025-06-23,3386,"J828",3162750,4773290,0.662593305665484,150,0.625535007462682,"B_CON_018","B","CON","018","b"
"33",2025-06-23,3387,"J831",3420147,4104862,0.833194148792335,150,0.720117249419316,"B_CON_019","B","CON","019","b"
"34",2025-06-23,3388,"J834",3236801,4869086,0.664765625417173,150,0.626739355979345,"B_CON_020","B","CON","020","b"
"35",2025-06-23,3389,"J837",3193826,4797543,0.66572118269706,150,0.627269123289947,"C_UV_021","C","UV","021","b"
"36",2025-06-23,3390,"J840",2915853,4855195,0.600563520105784,150,0.591145281838856,"C_UV_024","C","UV","024","b"
"37",2025-06-23,3391,"J843",2929030,4794204,0.61095230824554,150,0.596904895070896,"C_UV_025","C","UV","025","b"
"38",2025-06-23,3392,"J846",2868054,4664129,0.614917383288498,150,0.599103159043193,"C_CON_026","C","CON","026","b"
"39",2025-06-23,3393,"J849",2861563,4855727,0.589317109466821,150,0.584910196989908,"C_CON_028","C","CON","028","b"
"40",2025-06-23,3394,"J852",3214727,4588667,0.700579710839771,150,0.646594923107915,"D_UV_034","D","UV","034","b"
"41",2025-06-23,3395,"J855",3094476,4776843,0.64780776759881,150,0.617337806831959,"D_CON_037","D","CON","037","b"
"42",2025-06-23,3396,"J858",3619542,4847405,0.746696840887031,150,0.672162566693547,"D_CON_038","D","CON","038","b"
"43",2025-06-23,3397,"J861",3401886,4701555,0.723566139287959,150,0.659338751903584,"D_CON_040","D","CON","040","b"
"44",2025-06-25,3407,"J864",2725047,4146171,0.657244238117531,150,0.622569448841809,"E_UV_042","E","UV","042","b"
"45",2025-06-25,3408,"J867",3119423,4643426,0.67179341288092,150,0.630635608085331,"E_UV_043","E","UV","043","b"
"46",2025-06-25,3409,"J870",3107865,4717014,0.658862789044086,150,0.623466784239154,"E_UV_044","E","UV","044","b"
"47",2025-06-25,3410,"J873",3313803,4657688,0.711469510194758,150,0.652632300289496,"E_CON_049","E","CON","049","b"
"48",2025-06-25,3411,"J876",2949651,5107927,0.577465378812187,150,0.578339518698781,"F_UV_052","F","UV","052","b"
"49",2025-06-25,3412,"J879",3467086,4899002,0.707712713732307,150,0.650549507347323,"F_UV_053","F","UV","053","b"
"50",2025-06-25,3413,"J882",2779098,4691474,0.592372034887117,150,0.586603867958737,"F_CON_060","F","CON","060","b"
"51",2025-06-25,3419,"J811",2922477,5356350,0.545609790248957,150,0.56067856855378,"A_CON_009","A","CON","009","b"
"52",2025-06-25,3420,"J814",3002651,5028393,0.597139284857011,150,0.589246863045139,"A_UV_001","A","UV","001","b"
"53",2025-06-25,3421,"J817",3352962,4621883,0.725453673318862,150,0.660385213322766,"B_UV_013","B","UV","013","b"
"54",2025-06-25,3422,"J820",3963369,4537835,0.873405269252849,150,0.742410562014001,"B_UV_014","B","UV","014","b"
"55",2025-06-26,3432,"J823",3283577,4848542,0.677229773404046,150,0.633649562512153,"B_UV_015","B","UV","015","b"
"56",2025-06-26,3433,"J826",3115309,4678828,0.66583105854714,150,0.627330039191926,"B_CON_016","B","CON","016","b"
"57",2025-06-26,3434,"J829",3239143,4911911,0.659446598279163,150,0.62379045196152,"B_CON_018","B","CON","018","b"
"58",2025-06-26,3435,"J832",3582572,4921242,0.727981269768892,150,0.661786529603646,"B_CON_019","B","CON","019","b"
"59",2025-06-26,3436,"J835",2635170,4389633,0.600316700735574,150,0.591008443538617,"B_CON_020","B","CON","020","b"
"60",2025-06-26,3437,"J838",3315265,5199572,0.637603441206315,150,0.611680460419305,"C_UV_021","C","UV","021","b"
"61",2025-06-26,3438,"J841",2945236,5445981,0.540809084717703,150,0.558017025481674,"C_UV_024","C","UV","024","b"
"62",2025-06-26,3439,"J844",2933903,5453193,0.53801561763906,150,0.556468308756203,"C_UV_025","C","UV","025","b"
"63",2025-06-26,3440,"J847",2832191,5322481,0.53211857402591,150,0.553198948560644,"C_CON_026","C","CON","026","b"
"64",2025-06-26,3441,"J850",2973600,5254797,0.565882944669413,150,0.571918140184701,"C_CON_028","C","CON","028","b"
"65",2025-06-26,3442,"J853",3134198,5156920,0.607765487926902,150,0.5951381006933,"D_UV_034","D","UV","034","b"
"66",2025-06-26,3443,"J856",2687219,5033719,0.533843665091357,150,0.554155350519502,"D_CON_037","D","CON","037","b"
"67",2025-06-26,3444,"J859",3661916,5103766,0.717492925812038,150,0.655971721964542,"D_CON_038","D","CON","038","b"
"68",2025-06-26,3445,"J862",3351118,4999236,0.670326025816745,150,0.629822078938557,"D_CON_040","D","CON","040","b"
"69",2025-06-26,3446,"J865",3173745,5540721,0.572803611659927,150,0.575755003987955,"E_UV_042","E","UV","042","b"
"70",2025-06-26,3447,"J868",3064413,5446658,0.562622621064146,150,0.570110595096187,"E_UV_043","E","UV","043","b"
"71",2025-06-27,3457,"J871",2652185,4971916,0.533433187527706,150,0.553927779028462,"E_UV_044","E","UV","044","b"
"72",2025-06-27,3458,"J874",2784877,4946061,0.563049465018729,150,0.570347240223199,"E_CON_049","E","CON","049","b"
"73",2025-06-27,3459,"J877",2457952,4996399,0.491944698571911,150,0.530926284845257,"F_UV_052","F","UV","052","b"
"74",2025-06-27,3460,"J880",3947913,4868834,0.810853892328225,150,0.707731662668783,"F_UV_053","F","UV","053","b"
"75",2025-06-27,3461,"J883",2434030,5139860,0.473559591117268,150,0.520733459008043,"F_CON_060","F","CON","060","b"
