No,Label,Normal,Unisaccate,Trisaccate,Tetrasaccate,Asaccate,Encircling_sacci,Fused_sacci,Enlarged_sacci,Dyad,Triad,Tetrad,Broken,Giant_grain,Total
110,2025_A_UV_1,533,,,,1,,,,2,,,,,536
111,2025_A_CON_9,705,,1,,,1,,1,1,,,1,,709
112,2025_B_UV_13,589,,1,1,1,,,,1,,,,,593
113,2025_B_UV_14,570,,,,,,,,1,,,1,,571
114,2025_B_UV_15,600,,,,,,,,5,,,,,605
115,2025_B_CON_16,578,,,,,,,,1,,,1,,579
116,2025_B_CON_19,578,,,1,,,,,,,,,1,580
117,2025_B_CON_20,546,,,,,1,,,2,,,1,,549
118,2025_C_UV_21,581,,,,,,,1,,,,2,,582
119,2025_C_UV_24,600,,,,,,,,,,,,,600
120,2025_C_UV_25,587,,,,,,,,,,,,,587
121,2025_C_CON_26,571,,1,,1,,,,4,,1,,,578
122,2025_C_CON_28,547,,,,,,,,3,,,4,,550
123,2025_D_UV_34,581,,,,,,,,,,,2,,581
124,2025_D_CON_37,595,,1,,1,1,,,2,,,,,600
125,2025_D_CON_38,570,,,,,,,,,,,2,,570
126,2025_D_CON_40,594,,,1,,,,,,,,3,,595
127,2025_E_UV_42,600,,,,1,,,,,,,,,601
128,2025_E_UV_43,600,,,,2,,,,3,,,1,,605
129,2025_E_UV_44,593,,,,,,,,,,,1,,593
130,2025_E_CON_49,575,,,,3,,,,2,,,,,580
131,2025_F_UV_52,604,,,,,,,,1,,,1,,605
132,2025_F_UV_53,586,,,,,,,,,,,2,,586
133,2025_F_CON_60,613,,,,,,,,,,,,,613
134,2025_R_ROOF_61,611,,,3,2,,,,,,,,,616
135,2025_R_ROOF_63,604,,,,,,,,,,,3,,604
136,2024_C_UV_25,637,,,,,,,,,,,1,,637
137,2024_D_UV_32,597,,,,,,,,2,,,,,599
138,2024_F_UV_54,614,,,,,,,,,,,1,,614
139,2025_A_UV_1,580,,,,,,2,,1,,,,,583
140,2025_A_CON_9,403,1,,,,,,,,,,,,404
141,2025_B_UV_13,507,,,,,,,,,,,1,,507
142,2025_B_UV_14,460,,,,,,,,,,,,,460
143,2025_B_UV_15,450,,,,1,,,,,,,1,,451
144,2025_B_CON_16,504,,,,,1,,,2,,,1,,507
145,2025_B_CON_19,470,,,,,,1,,,,,,,471
146,2025_B_CON_20,479,,,1,1,,,,1,,,1,,482
147,2025_C_UV_21,497,,,,,,1,,,2,,,,500
148,2025_C_UV_24,423,,,,,,,,1,,,2,,424
149,2025_C_UV_25,581,,,,,,,,1,,,,,582
150,2025_C_CON_26,452,,,,1,,,,3,,,,,456
151,2025_C_CON_28,455,,,,,,,,,,,1,,455
152,2025_D_UV_34,420,,,,1,,,,,,1,,,422
153,2025_D_CON_37,443,,,,,,,,2,,,,,445
154,2025_D_CON_38,456,,,,,,,,,,,,,456
155,2025_D_CON_40,441,,,,,,,,1,,,,,442
156,2025_E_UV_42,459,,,,,,,,1,,,3,,460
157,2025_E_UV_43,436,,,,4,,,,,,,,,440
158,2025_E_UV_44,419,,,,,,,,,,,,,419
159,2025_E_CON_49,514,,,,,,,,2,,,,,516
160,2025_F_UV_52,402,,1,,,,,,,,,,,403
161,2025_F_UV_53,508,,,,,,,,,,,,,508
162,2025_F_CON_60,406,,,,,,,,1,,,,,407
163,2025_R_ROOF_61,421,,,1,,,,,3,,,,,425
164,2025_R_ROOF_63,446,,,,1,,,,,,,,,447
165,2024_C_UV_25,414,,,,,,,,1,,,,,415
166,2024_D_UV_32,430,,,,,,,,,,,2,,430
167,2024_F_UV_54,410,,,,,,,,1,,,2,,411
