No,Label,Normal,Unisaccate,Trisaccate,Tetrasaccate,Asaccate,Encircling_sacci,Fused_sacci,Enlarged_sacci,Dyad,Triad,Tetrad,Broken,Giant_grain,Total
1,A_UV_1_b,535,6,2,,2,,,23,,,,6,,568
2,A_UV_2_a,516,3,2,4,,,1,1,1,,,5,1,529
3,A_UV_4_a,588,6,2,5,8,,7,2,10,1,,3,,629
4,A_UV_4_b,600,1,1,,,,2,,2,,,2,,606
5,A_UV_6_a,610,5,,,2,,17,2,2,1,,11,,639
6,A_UV_6_b,595,4,,,18,1,7,3,5,1,,3,,634
7,A_CON_2_a,573,,,4,5,,3,,,,,4,,585
8,A_CON_4_a,540,,1,1,1,,1,,2,1,,7,,547
9,A_CON_6_b,508,1,1,,6,1,3,1,1,,,1,,522
10,B_UV_2_b,530,,2,4,2,,,,4,,,1,,542
11,B_UV_4_b,537,,,1,,,,,2,,,1,,540
12,B_UV_6_a,502,3,3,1,36,,4,1,10,,,1,,560
13,B_UV_6_b,504,8,2,2,58,,3,5,22,1,2,1,37,644
14,B_CON_4_a,539,,,,2,,2,,1,,,,,544
15,B_CON_5_a,668,1,,,12,,,1,13,4,2,1,,701
16,B_CON_6_a,562,1,,1,,,,,1,,,2,,565
17,B_CON_6_b,528,3,1,5,7,,1,,24,4,,1,,573
18,C_UV_2_a,700,,1,1,2,,,,2,,,9,,706
19,C_UV_2_b,732,1,2,3,,1,,,1,,,2,,740
20,C_UV_3_b,330,13,19,83,15,,6,,25,2,,4,9,502
21,C_UV_4_a,579,,,,,,1,1,1,,,,,582
22,C_UV_5_b,571,2,3,6,6,,2,3,17,7,4,1,1,622
23,C_CON_2_a,585,,,7,4,,,,,,,,,596
24,C_CON_4_a,546,1,1,2,1,,,,4,,,,,555
25,C_CON_6_b,521,1,1,3,2,1,2,,13,3,4,,,551
26,D_UV_1_b,545,1,4,,1,,,2,2,,,1,,555
27,D_UV_3_b,636,1,,2,1,,,4,1,1,,,,646
28,D_UV_4_a,577,,,2,1,,,,,,,,,580
29,D_UV_6_a,605,3,2,7,1,,2,5,3,,,3,,628
30,D_CON_1_a,556,,1,1,,,,,,,,,,558
31,D_CON_2_b,587,,,2,,,,,,,,,,589
32,D_CON_3_a,600,4,3,29,5,,1,,1,,,2,1,644
33,D_CON_4_a,581,,8,7,,1,7,,1,,,,,605
34,D_CON_4_b,630,,,,2,,,1,,,,,,633
35,D_CON_6_a,629,,1,1,,,1,1,2,,,,,635
36,D_CON_6_b,634,,,1,,,,,2,,,2,,637
37,E_UV_2_b,776,,1,7,,,,,2,,,,,786
38,E_UV_3_a,564,,1,,10,,1,,,,,,,576
39,E_UV_4_a,514,,,30,3,,1,,34,7,1,1,,590
40,A_UV_3_a,414,3,9,71,25,2,9,3,48,7,3,1,18,612
41,A_CON_2_b,571,1,,,,,,,,,,2,,572
42,A_CON_4_b,619,1,,,3,1,1,2,,,,1,,627
43,B_UV_2_a,680,,,1,,1,1,,,,,6,,683
44,B_UV_3_b,634,4,,13,3,,1,1,13,1,,2,,670
45,B_UV_4_a,669,1,,,,,,,,,,2,,670
46,B_CON_3_b,532,,8,50,9,,4,2,16,,,2,18,639
47,B_CON_4_b,611,,,,,,,,4,,,1,,615
48,C_UV_4_b,558,,1,2,,,1,,1,,,2,,563
49,C_CON_2_b,628,,,1,,,,,1,,,1,,630
50,C_CON_5_b,593,1,2,2,18,,3,1,23,8,14,,,665
51,D_UV_2_a,546,,4,23,2,,1,,12,1,,,,589
52,D_UV_2_b,595,,9,31,4,,10,,23,2,,1,1,675
53,D_UV_3_a,547,,1,10,9,,6,3,6,,,,,582
54,D_UV_4_b,589,1,,,,,,1,,,,,,591
55,D_UV_5_a,624,2,1,,5,,1,,,,,4,,633
56,D_UV_6_b,417,2,41,33,14,1,7,5,17,2,,1,2,541
57,D_CON_5_a,545,,,1,6,,,1,16,6,5,1,,580
58,E_UV_1_b,679,,,,,,,1,11,,,,,691
59,E_UV_2_a,593,1,,,4,,,,2,,,2,,600
60,E_UV_3_b,573,2,1,30,6,,1,3,16,1,,,,633
61,E_UV_4_b,507,1,3,58,3,,,2,48,2,1,8,3,628
62,E_UV_6_b,603,,1,23,,,2,1,1,,,1,,631
63,E_CON_2_b,539,,2,18,,,1,,2,,,1,,562
64,E_CON_6_a,568,,,6,1,,1,,11,,,,,587
65,E_CON_6_b,628,1,,,1,,,,,,,,,630
66,F_UV_1_b,561,,2,,1,,1,,4,,,3,,569
67,F_UV_4_b,636,1,1,1,3,,,,6,,,1,,648
68,F_UV_6_b,584,1,1,3,1,,,1,4,,,1,,595
69,F_CON_2_b,609,,,9,1,1,,,4,,,,,624
70,F_CON_4_a,580,1,,1,,,,,,,,5,1,583
71,F_CON_4_b,645,,1,5,,,,,1,,,,,652
72,A_UV_1_a,732,5,1,4,2,,2,9,3,,,4,,758
73,A_UV_5_b,518,8,2,3,33,,4,1,48,8,3,1,6,634
74,A_CON_1_a,622,,,,4,,,,1,,,3,,627
75,B_UV_1_b,623,1,1,,1,,6,,16,,,1,,648
76,B_CON_2_b,585,,,11,,,,,1,,,,,597
77,B_CON_3_a,563,2,1,1,32,,2,2,18,1,1,2,,623
78,C_UV_6_a,517,3,,,21,2,6,,4,2,1,,,556
79,C_UV_6_b,583,,,1,,,1,,1,,,15,,586
80,C_CON_6_a,529,,1,6,9,3,,,14,,,,,562
81,D_CON_3_b,583,1,3,48,15,6,3,2,64,22,3,,,750
82,E_UV_5_a,551,,1,4,13,,3,1,24,3,,2,,600
83,E_UV_6_a,628,,,1,1,,,,3,,,,,633
84,E_CON_3_b,544,,,,18,,1,2,2,,1,,,568
85,E_CON_4_a,519,,8,60,1,7,15,2,10,,,1,3,625
86,F_UV_1_a,578,,,,2,,5,2,12,,,,,599
87,F_CON_1_a,565,,,1,,,1,,1,,,,,568
88,F_CON_1_b,607,1,,,5,,,,7,,,,,620
89,F_CON_2_a,656,,,1,,,,,5,,,2,,662
90,F_CON_3_a,560,,1,9,1,,,,2,,,,,573
91,F_CON_3_b,605,1,,2,1,,1,,2,,1,1,,613
92,F_CON_5_b,547,1,,,5,,,,4,,1,,,558
93,A_UV_2_b,607,,3,20,3,,10,2,16,1,,1,7,669
94,A_CON_1_b,552,,,,,,1,,,,,2,,553
95,A_CON_5_a,860,,1,,8,,2,4,1,,,,,876
96,A_CON_6_a,415,,2,6,5,,17,,48,29,14,,35,571
97,B_CON_2_a,549,,1,16,,,,1,5,,,,,572
98,B_CON_5_b,556,,1,1,10,,1,1,4,,1,1,,575
99,C_UV_3_a,581,,1,17,1,,,,2,,,,1,603
100,C_CON_3_a,580,,,,5,,1,,,2,,,,588
101,D_CON_5_b,589,,,8,1,,,,6,4,,,1,609
102,E_CON_1_b,625,,,,,,,,1,,,2,,626
103,E_CON_2_a,596,,,5,,,1,,3,,,,,605
104,F_UV_2_a,612,,,1,,,,,,,,1,,613
105,F_UV_2_b,620,,,7,,,,,,,,2,,627
106,F_UV_3_a,510,,3,74,2,1,8,1,9,1,,,3,612
107,F_UV_6_a,557,,1,7,3,1,3,,27,,,,6,605
108,F_CON_5_a,587,,3,3,7,,1,,8,1,2,,,612
109,F_CON_6_a,590,,1,,,,,7,,,,3,2,600
