[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-05_13-37-55_000_646
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-05 13:37:55
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260605_FrameB
CommentSub1        = UV
CommentSub2        = centre
CommentSub3        = 44.5cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 512
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 6719
[END] of [Attributes]
[DATA]
 0 8 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 7.3031762546043 0 0
 281.698514338328 11.7988051862142 0 0
 283.875738026479 16.6807954766199 0 0
 286.052406498816 26.2937292859838 0 0
 288.228525712577 37.3482746859304 0 0
 290.404101625 51.0579834391422 0 0
 292.579140193323 69.2371574485813 0 0
 294.753647374784 90.6801732428337 0 0
 296.927629126621 107.095919897759 0 0
 299.101091406072 125.915997020392 0 0
 301.274040170375 146.290340813406 0 0
 303.446481376768 155.334311927183 0 0
 305.618420982489 166.882978124703 0 0
 307.789864944776 173.902879465231 0 0
 309.960819220867 181.700474270203 0 0
 312.131289768 190.928010994543 0 0
 314.301282543413 183.336774914618 0 0
 316.470803504344 165.164711939095 0 0
 318.639858608031 152.572512442075 0 0
 320.808453811712 139.476965457953 0 0
 322.976595072625 129.387087357973 0 0
 325.144288348008 119.266704850365 0 0
 327.311539595099 107.609330848855 0 0
 329.478354771136 96.083653925816 0 0
 331.644739833357 87.6760329458772 0 0
 333.810700739 79.030409475289 0 0
 335.976243445303 68.6003402655104 0 0
 338.141373909504 60.7756896690951 0 0
 340.306098088841 52.9115823713062 0 0
 342.470421940552 45.1385679639473 0 0
 344.634351421875 40.5731131545206 0 0
 346.797892490048 34.946846657037 0 0
 348.961051102309 29.1046289544768 0 0
 351.123833215896 26.3602903038539 0 0
 353.286244788047 22.4760562309602 0 0
 355.448291776 18.6277573335185 0 0
 357.609980136993 17.4532576715222 0 0
 359.771315828264 16.5149747267886 0 0
 361.932304807051 22.6976000143848 0 0
 364.092953030592 33.2861937214446 0 0
 366.253266456125 31.4131294164244 0 0
 368.413251040888 17.5075772419626 0 0
 370.572912742119 10.1175945509443 0 0
 372.732257517056 6.41701948764142 0 0
 374.891291322937 4.26202292192989 0 0
 377.050020117 5.12212918971299 0 0
 379.208449856483 3.65043137404828 0 0
 381.366586498624 2.32545264953571 0 0
 383.524436000661 3.53264370932043 0 0
 385.682004319832 2.32973813618354 0 0
 387.839297413375 1.31262802062155 0 0
 389.996321238528 2.71993226912157 0 0
 392.153081752529 1.6790714475999 0 0
 394.309584912616 0.776187250172117 0 0
 396.465836676027 2.3902036171102 0 0
 398.621843 2.71123696834775 0 0
 400.777609841773 8.60890106720884 0 0
 402.933143158584 22.3307757870517 0 0
 405.088448907671 25.1759425889313 0 0
 407.243533046272 16.9242188738017 0 0
 409.398401531625 8.22843223333962 0 0
 411.553060320968 3.4056876269622 0 0
 413.707515371539 2.289384239329 0 0
 415.861772640576 4.00465301893802 0 0
 418.015838085317 4.29601439552119 0 0
 420.169717663 5.55716874301516 0 0
 422.323417330863 8.80187271655157 0 0
 424.476943046144 10.9547137479358 0 0
 426.630300766081 14.948474010024 0 0
 428.783496447912 22.8450131054232 0 0
 430.936536048875 37.8886849026073 0 0
 433.089425526208 80.0572148073423 0 0
 435.242170837149 120.652609238717 0 0
