[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-05_12-45-15_000_109
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-05 12:45:15
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260605_FrameB
CommentSub1        = UV
CommentSub2        = left
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 6630
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 2.06391023801204 0 0
 281.698514338328 8.66742671549883 0 0
 283.875738026479 11.6733791922604 0 0
 286.052406498816 12.9605208232698 0 0
 288.228525712577 23.8454369434339 0 0
 290.404101625 31.3567187796008 0 0
 292.579140193323 38.1475541211583 0 0
 294.753647374784 54.8690911529821 0 0
 296.927629126621 62.8699918242826 0 0
 299.101091406072 70.5852510294091 0 0
 301.274040170375 86.0382518459361 0 0
 303.446481376768 89.7792691501776 0 0
 305.618420982489 94.0192856185315 0 0
 307.789864944776 101.524145107797 0 0
 309.960819220867 103.733263659907 0 0
 312.131289768 106.532848733151 0 0
 314.301282543413 106.183674400257 0 0
 316.470803504344 94.0363264918244 0 0
 318.639858608031 85.7033301848991 0 0
 320.808453811712 83.139876850201 0 0
 322.976595072625 74.1835719925239 0 0
 325.144288348008 67.8111998193953 0 0
 327.311539595099 65.9492861649057 0 0
 329.478354771136 55.2862014636574 0 0
 331.644739833357 50.238929270356 0 0
 333.810700739 49.4325190922726 0 0
 335.976243445303 39.5367336444295 0 0
 338.141373909504 35.2771831273453 0 0
 340.306098088841 34.0433007099732 0 0
 342.470421940552 25.7622004495034 0 0
 344.634351421875 23.8766574811378 0 0
 346.797892490048 23.3457064919444 0 0
 348.961051102309 16.4958624861042 0 0
 351.123833215896 16.0041293910581 0 0
 353.286244788047 15.6981087706133 0 0
 355.448291776 10.1639770369307 0 0
 357.609980136993 10.9340248501145 0 0
 359.771315828264 11.9555772332774 0 0
 361.932304807051 11.2158060857632 0 0
 364.092953030592 18.7248532037005 0 0
 366.253266456125 18.8885991871417 0 0
 368.413251040888 8.37579238529436 0 0
 370.572912742119 7.23817000975332 0 0
 372.732257517056 5.56864411912814 0 0
 374.891291322937 0.869763352659722 0 0
 377.050020117 4.66163029018699 0 0
 379.208449856483 3.77938986746553 0 0
 381.366586498624 -0.311917071459371 0 0
 383.524436000661 3.89676392045753 0 0
 385.682004319832 2.79693978277804 0 0
 387.839297413375 -1.03155583337014 0 0
 389.996321238528 3.78014447323008 0 0
 392.153081752529 2.19666945808991 0 0
 394.309584912616 -1.03654563268959 0 0
 396.465836676027 3.80490928160047 0 0
 398.621843 2.72731246480306 0 0
 400.777609841773 5.15450615332417 0 0
 402.933143158584 19.4861802526816 0 0
 405.088448907671 19.9031715555472 0 0
 407.243533046272 12.7796089620045 0 0
 409.398401531625 9.82742827044742 0 0
 411.553060320968 4.93913820225315 0 0
 413.707515371539 4.5792988286895 0 0
 415.861772640576 10.2289175181854 0 0
 418.015838085317 10.7477353946646 0 0
 420.169717663 15.0472872249891 0 0
 422.323417330863 24.5355501024297 0 0
 424.476943046144 30.8932729677037 0 0
 426.630300766081 43.2449598541627 0 0
 428.783496447912 63.2526541866481 0 0
 430.936536048875 88.247349025845 0 0
 433.089425526208 140.335667497762 0 0
 435.242170837149 198.922756092575 0 0
