[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-08_10-04-05_000_127
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-08 10:04:05
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260608_FrameB
CommentSub1        = con
CommentSub2        = centre
CommentSub3        = 44.5cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 512
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 6949
[END] of [Attributes]
[DATA]
 0 8 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 0.1927116069906 0 0
 281.698514338328 -1.37921797027841 0 0
 283.875738026479 2.54278088941132 0 0
 286.052406498816 0.259106513860081 0 0
 288.228525712577 -1.19172794416626 0 0
 290.404101625 2.97743088626244 0 0
 292.579140193323 0.574832953947174 0 0
 294.753647374784 -0.507946948368386 0 0
 296.927629126621 3.32988897258555 0 0
 299.101091406072 1.03435332920729 0 0
 301.274040170375 0.400222683339879 0 0
 303.446481376768 3.54503171916623 0 0
 305.618420982489 1.48697290041353 0 0
 307.789864944776 0.933950672289207 0 0
 309.960819220867 4.00632284604686 0 0
 312.131289768 2.24782352526954 0 0
 314.301282543413 3.66544469901681 0 0
 316.470803504344 11.7242864768076 0 0
 318.639858608031 17.3256689983514 0 0
 320.808453811712 25.9321845200482 0 0
 322.976595072625 37.075290260797 0 0
 325.144288348008 37.7869988950202 0 0
 327.311539595099 38.4939982701155 0 0
 329.478354771136 41.4727287550042 0 0
 331.644739833357 36.0726408433681 0 0
 333.810700739 34.1898564291767 0 0
 335.976243445303 34.8408504579722 0 0
 338.141373909504 28.1980467535343 0 0
 340.306098088841 25.9406148044112 0 0
 342.470421940552 26.4425829057413 0 0
 344.634351421875 21.0619432224905 0 0
 346.797892490048 19.6239435706295 0 0
 348.961051102309 20.1278626881345 0 0
 351.123833215896 15.525762846228 0 0
 353.286244788047 14.7239878400121 0 0
 355.448291776 15.4144629942499 0 0
 357.609980136993 11.4403134016387 0 0
 359.771315828264 12.4500076382086 0 0
 361.932304807051 19.837457484267 0 0
 364.092953030592 24.3604610801496 0 0
 366.253266456125 24.7188877803392 0 0
 368.413251040888 16.8047461004706 0 0
 370.572912742119 6.56910006046841 0 0
 372.732257517056 5.6900820026034 0 0
 374.891291322937 6.55602040451557 0 0
 377.050020117 2.24290346386185 0 0
 379.208449856483 3.64518346119531 0 0
 381.366586498624 4.93398772984565 0 0
 383.524436000661 0.732461399615091 0 0
 385.682004319832 2.6636362350614 0 0
 387.839297413375 4.01707555947263 0 0
 389.996321238528 -0.0159729345146655 0 0
 392.153081752529 2.24834473285103 0 0
 394.309584912616 3.30539254731892 0 0
 396.465836676027 -0.176362064736319 0 0
 398.621843 3.79295082090281 0 0
 400.777609841773 12.4548120623172 0 0
 402.933143158584 23.6833193011521 0 0
 405.088448907671 30.6606624014833 0 0
 407.243533046272 22.3299343237114 0 0
 409.398401531625 7.33726197043806 0 0
 411.553060320968 5.01462860548154 0 0
 413.707515371539 4.55254487380179 0 0
 415.861772640576 2.49900069296156 0 0
 418.015838085317 5.98650056095141 0 0
 420.169717663 8.07808414723243 0 0
 422.323417330863 8.31639158645929 0 0
 424.476943046144 13.9511683152043 0 0
 426.630300766081 18.9189293365064 0 0
 428.783496447912 25.0609665449752 0 0
 430.936536048875 46.0582139166707 0 0
 433.089425526208 97.5963724541666 0 0
