[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-08_13-59-15_000_846
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-08 13:59:15
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260608_FrameC
CommentSub1        = UV
CommentSub2        = left
CommentSub3        = 28cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 7232
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 7.27183758269796 0 0
 281.698514338328 3.00359296656651 0 0
 283.875738026479 15.9013329140475 0 0
 286.052406498816 19.4503929100094 0 0
 288.228525712577 19.2636606249592 0 0
 290.404101625 38.9820782608477 0 0
 292.579140193323 46.3765881919867 0 0
 294.753647374784 54.2613688195865 0 0
 296.927629126621 74.4872622658415 0 0
 299.101091406072 81.6182311091679 0 0
 301.274040170375 90.8281826507481 0 0
 303.446481376768 105.041503808201 0 0
 305.618420982489 107.20831462662 0 0
 307.789864944776 109.149692365054 0 0
 309.960819220867 121.966867316464 0 0
 312.131289768 121.669730718958 0 0
 314.301282543413 115.065161369623 0 0
 316.470803504344 112.230763665116 0 0
 318.639858608031 96.4090734584145 0 0
 320.808453811712 87.5804376767874 0 0
 322.976595072625 90.5435591573004 0 0
 325.144288348008 74.394456018097 0 0
 327.311539595099 67.4094150471151 0 0
 329.478354771136 69.2443224314672 0 0
 331.644739833357 53.0991839891524 0 0
 333.810700739 49.7611270421042 0 0
 335.976243445303 50.927631416403 0 0
 338.141373909504 35.4120060538283 0 0
 340.306098088841 33.6849772306923 0 0
 342.470421940552 34.7973983554494 0 0
 344.634351421875 22.209148976288 0 0
 346.797892490048 22.9180821641029 0 0
 348.961051102309 23.3726431373325 0 0
 351.123833215896 13.1294744499569 0 0
 353.286244788047 15.5083756904677 0 0
 355.448291776 15.9790474857001 0 0
 357.609980136993 7.20113250786548 0 0
 359.771315828264 12.3879690490105 0 0
 361.932304807051 17.8831582089516 0 0
 364.092953030592 16.5368166658856 0 0
 366.253266456125 22.2799512236355 0 0
 368.413251040888 14.580345696474 0 0
 370.572912742119 1.59373704268887 0 0
 372.732257517056 7.68977530023502 0 0
 374.891291322937 5.95991688764543 0 0
 377.050020117 -1.73618928892314 0 0
 379.208449856483 7.08767412997805 0 0
 381.366586498624 4.52993105810414 0 0
 383.524436000661 -2.69491000539623 0 0
 385.682004319832 6.95306436178168 0 0
 387.839297413375 3.26155538743865 0 0
 389.996321238528 -2.58291576164202 0 0
 392.153081752529 7.10053731933916 0 0
 394.309584912616 2.13800076534667 0 0
 396.465836676027 -1.86590198562573 0 0
 398.621843 8.22842946289357 0 0
 400.777609841773 7.05844180192967 0 0
 402.933143158584 13.1521324817994 0 0
 405.088448907671 24.3550724684065 0 0
 407.243533046272 13.3427228839335 0 0
 409.398401531625 5.64743583191975 0 0
 411.553060320968 11.298797967218 0 0
 413.707515371539 6.09390615664598 0 0
 415.861772640576 8.54491389990977 0 0
 418.015838085317 18.8219632550187 0 0
 420.169717663 19.0035563761052 0 0
 422.323417330863 27.9689385755009 0 0
 424.476943046144 44.5274408276593 0 0
 426.630300766081 54.6856718270304 0 0
 428.783496447912 78.1276763052731 0 0
 430.936536048875 115.795947658941 0 0
 433.089425526208 170.244227271069 0 0
 435.242170837149 238.416769250972 0 0
