[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-09_17-24-20_000_583
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-09 17:24:20
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260609_FrameA
CommentSub1        = UV
CommentSub2        = left
CommentSub3        = 22.5cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8083
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 2.03277724336423 0 0
 281.698514338328 4.65750563794218 0 0
 283.875738026479 13.5190490367413 0 0
 286.052406498816 11.6698057706722 0 0
 288.228525712577 18.0845480827126 0 0
 290.404101625 31.7129760398802 0 0
 292.579140193323 34.1288874312077 0 0
 294.753647374784 46.2856975657672 0 0
 296.927629126621 60.4386177373334 0 0
 299.101091406072 63.9914425630766 0 0
 301.274040170375 75.6287389462344 0 0
 303.446481376768 85.073031198165 0 0
 305.618420982489 85.5330961287383 0 0
 307.789864944776 90.4535265286816 0 0
 309.960819220867 98.4929398019983 0 0
 312.131289768 97.6534898459959 0 0
 314.301282543413 95.291701574642 0 0
 316.470803504344 90.3771578553748 0 0
 318.639858608031 77.4739815042121 0 0
 320.808453811712 73.2351367091251 0 0
 322.976595072625 72.9334406026763 0 0
 325.144288348008 59.979146118089 0 0
 327.311539595099 57.1782509216738 0 0
 329.478354771136 55.8380410714 0 0
 331.644739833357 43.5131853844905 0 0
 333.810700739 42.3082395312833 0 0
 335.976243445303 41.096513290847 0 0
 338.141373909504 29.1497619997912 0 0
 340.306098088841 28.8543966899322 0 0
 342.470421940552 27.9450518856211 0 0
 344.634351421875 18.75214982106 0 0
 346.797892490048 19.5756061326407 0 0
 348.961051102309 19.0275262677286 0 0
 351.123833215896 11.4022187746768 0 0
 353.286244788047 12.922989868484 0 0
 355.448291776 13.0607555642219 0 0
 357.609980136993 6.72461584340742 0 0
 359.771315828264 9.76027450713027 0 0
 361.932304807051 14.8448572661219 0 0
 364.092953030592 14.1444279024028 0 0
 366.253266456125 17.4930531528407 0 0
 368.413251040888 12.2296952724065 0 0
 370.572912742119 1.80348788948454 0 0
 372.732257517056 4.83159669149876 0 0
 374.891291322937 5.313228073507 0 0
 377.050020117 -1.43133415158305 0 0
 379.208449856483 3.56807390991926 0 0
 381.366586498624 4.25717078694076 0 0
 383.524436000661 -2.50872861594241 0 0
 385.682004319832 3.19662185214834 0 0
 387.839297413375 3.49817240851953 0 0
 389.996321238528 -2.7275946146645 0 0
 392.153081752529 3.06116002898925 0 0
 394.309584912616 3.12663742281071 0 0
 396.465836676027 -2.6566472120453 0 0
 398.621843 3.95995541975387 0 0
 400.777609841773 8.0013061087869 0 0
 402.933143158584 10.6491824322812 0 0
 405.088448907671 18.700519515346 0 0
 407.243533046272 13.7977284368845 0 0
 409.398401531625 3.19879442810023 0 0
 411.553060320968 6.63879753243194 0 0
 413.707515371539 6.57650162878898 0 0
 415.861772640576 4.34306972024862 0 0
 418.015838085317 12.2094321110448 0 0
 420.169717663 15.6707165340722 0 0
 422.323417330863 18.3984826530972 0 0
 424.476943046144 31.1427001271209 0 0
 426.630300766081 41.6385644277626 0 0
 428.783496447912 54.9468855742253 0 0
 430.936536048875 84.741148763108 0 0
 433.089425526208 131.178184968503 0 0
 435.242170837149 180.560789273849 0 0
