[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-09_16-28-15_000_893
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-09 16:28:15
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260609_FrameA
CommentSub1        = UV
CommentSub2        = right
CommentSub3        = 39cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 7963
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 9.69149392672588 0 0
 281.698514338328 1.66085121676192 0 0
 283.875738026479 19.8143789270977 0 0
 286.052406498816 25.5119624764832 0 0
 288.228525712577 22.0731863787206 0 0
 290.404101625 49.0052672204654 0 0
 292.579140193323 60.2030005251068 0 0
 294.753647374784 66.2830473200661 0 0
 296.927629126621 94.1172751944692 0 0
 299.101091406072 105.62074264367 0 0
 301.274040170375 113.133618663563 0 0
 303.446481376768 132.937076686445 0 0
 305.618420982489 138.315022393984 0 0
 307.789864944776 136.412039266698 0 0
 309.960819220867 154.782382669198 0 0
 312.131289768 157.903951416622 0 0
 314.301282543413 143.968947910278 0 0
 316.470803504344 142.534055715153 0 0
 318.639858608031 126.394674271004 0 0
 320.808453811712 107.825188759387 0 0
 322.976595072625 115.120101677397 0 0
 325.144288348008 98.9762769161876 0 0
 327.311539595099 81.7629510769467 0 0
 329.478354771136 88.6806786427174 0 0
 331.644739833357 72.8974170918773 0 0
 333.810700739 58.6054175837437 0 0
 335.976243445303 66.3117395226811 0 0
 338.141373909504 49.9714777085048 0 0
 340.306098088841 38.0079328424712 0 0
 342.470421940552 46.3689989199198 0 0
 344.634351421875 32.9146541812555 0 0
 346.797892490048 24.3084652187516 0 0
 348.961051102309 32.3022804410886 0 0
 351.123833215896 20.644100080647 0 0
 353.286244788047 14.7221828698645 0 0
 355.448291776 23.1612941350588 0 0
 357.609980136993 13.0210607580443 0 0
 359.771315828264 9.96679000121172 0 0
 361.932304807051 26.321662995958 0 0
 364.092953030592 25.0100954152667 0 0
 366.253266456125 21.7532639755437 0 0
 368.413251040888 22.8712679503148 0 0
 370.572912742119 5.54885929753665 0 0
 372.732257517056 1.32507724819293 0 0
 374.891291322937 13.1218946691745 0 0
 377.050020117 0.447456332838681 0 0
 379.208449856483 -0.848569547140602 0 0
 381.366586498624 11.6768154688463 0 0
 383.524436000661 -1.28931157661888 0 0
 385.682004319832 -1.59956298029529 0 0
 387.839297413375 10.7837096683871 0 0
 389.996321238528 -2.45790199543813 0 0
 392.153081752529 -1.66786704263991 0 0
 394.309584912616 9.81936668465004 0 0
 396.465836676027 -2.78552928630044 0 0
 398.621843 -0.132047672892332 0 0
 400.777609841773 16.2334868845197 0 0
 402.933143158584 14.496755267895 0 0
 405.088448907671 20.7274611561346 0 0
 407.243533046272 23.7128102774309 0 0
 409.398401531625 4.47066712732328 0 0
 411.553060320968 5.2623050963105 0 0
 413.707515371539 13.8249795554379 0 0
 415.861772640576 6.65168558966652 0 0
 418.015838085317 14.5037159953967 0 0
 420.169717663 27.2954499938796 0 0
 422.323417330863 27.1769703010458 0 0
 424.476943046144 43.4400804351823 0 0
 426.630300766081 65.6542192119128 0 0
 428.783496447912 81.3436011257738 0 0
 430.936536048875 122.232358999067 0 0
 433.089425526208 193.618436280196 0 0
 435.242170837149 259.620744949236 0 0
