[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_12-54-10_000_193
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 12:54:10
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameA
CommentSub1        = UV
CommentSub2        = left
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8175
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 1.28558537181675 0 0
 281.698514338328 6.17936678377718 0 0
 283.875738026479 3.3939895226418 0 0
 286.052406498816 6.66955533068754 0 0
 288.228525712577 13.4340021384446 0 0
 290.404101625 13.0945353842955 0 0
 292.579140193323 19.5568157929371 0 0
 294.753647374784 29.4008716541292 0 0
 296.927629126621 30.6069908198614 0 0
 299.101091406072 37.9856431138978 0 0
 301.274040170375 47.195486901391 0 0
 303.446481376768 47.0452305453048 0 0
 305.618420982489 52.6766696565342 0 0
 307.789864944776 57.6809895357615 0 0
 309.960819220867 57.4608473629198 0 0
 312.131289768 62.6469184381413 0 0
 314.301282543413 62.7378773805649 0 0
 316.470803504344 53.5777724363886 0 0
 318.639858608031 52.3189581960747 0 0
 320.808453811712 50.3215233791319 0 0
 322.976595072625 43.2340312060732 0 0
 325.144288348008 43.4430460084555 0 0
 327.311539595099 41.0728534317617 0 0
 329.478354771136 32.8838932905772 0 0
 331.644739833357 33.7510116703375 0 0
 333.810700739 31.561871442195 0 0
 335.976243445303 23.6874536025935 0 0
 338.141373909504 24.5910617980858 0 0
 340.306098088841 22.3719992011235 0 0
 342.470421940552 15.704322896522 0 0
 344.634351421875 17.4996321205845 0 0
 346.797892490048 15.6327648725422 0 0
 348.961051102309 10.1938816975837 0 0
 351.123833215896 12.4835726193434 0 0
 353.286244788047 11.1303393871085 0 0
 355.448291776 6.83908196531658 0 0
 357.609980136993 9.7250645935456 0 0
 359.771315828264 9.2698002086868 0 0
 361.932304807051 9.22504366821702 0 0
 364.092953030592 17.145357271604 0 0
 366.253266456125 15.7203009519462 0 0
 368.413251040888 7.55264043174005 0 0
 370.572912742119 8.28441225754252 0 0
 372.732257517056 5.50472319177622 0 0
 374.891291322937 1.8445022097291 0 0
 377.050020117 5.88518914457911 0 0
 379.208449856483 3.73600712121431 0 0
 381.366586498624 0.458312709805111 0 0
 383.524436000661 5.08065016026697 0 0
 385.682004319832 2.70164192282142 0 0
 387.839297413375 -0.335873454024557 0 0
 389.996321238528 4.77323135756884 0 0
 392.153081752529 1.85392600542195 0 0
 394.309584912616 -0.440636364673335 0 0
 396.465836676027 4.6815758908568 0 0
 398.621843 2.28016426693607 0 0
 400.777609841773 4.06078355736979 0 0
 402.933143158584 14.7704956277411 0 0
 405.088448907671 13.7842646993243 0 0
 407.243533046272 9.21440879384255 0 0
 409.398401531625 8.63690959072422 0 0
 411.553060320968 4.21008251292922 0 0
 413.707515371539 4.27913505151045 0 0
 415.861772640576 9.6461502054367 0 0
 418.015838085317 9.63794683192546 0 0
 420.169717663 13.4343176165116 0 0
 422.323417330863 22.1999303704817 0 0
 424.476943046144 27.2708094887663 0 0
 426.630300766081 38.1374683237976 0 0
 428.783496447912 56.0798352357594 0 0
 430.936536048875 76.6229149232761 0 0
 433.089425526208 118.363700530955 0 0
 435.242170837149 166.831872363638 0 0
