[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_14-37-15_000_033
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 14:37:15
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameB
CommentSub1        = UV
CommentSub2        = centre
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8315
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 2.51098004115461 0 0
 281.698514338328 4.90068963547251 0 0
 283.875738026479 7.47790474088108 0 0
 286.052406498816 9.37875025548757 0 0
 288.228525712577 14.3022186640843 0 0
 290.404101625 20.4145314995887 0 0
 292.579140193323 25.4854415726397 0 0
 294.753647374784 35.0592593258795 0 0
 296.927629126621 42.1861718501365 0 0
 299.101091406072 48.2106343738169 0 0
 301.274040170375 58.0494144082252 0 0
 303.446481376768 62.4516340150401 0 0
 305.618420982489 66.5496698362747 0 0
 307.789864944776 71.3736248547212 0 0
 309.960819220867 75.4285983345833 0 0
 312.131289768 78.6817510502251 0 0
 314.301282543413 77.5077971874361 0 0
 316.470803504344 71.0977985621609 0 0
 318.639858608031 65.1859185687857 0 0
 320.808453811712 61.6705106715405 0 0
 322.976595072625 58.4887278506921 0 0
 325.144288348008 53.0234162134082 0 0
 327.311539595099 49.9831579960877 0 0
 329.478354771136 45.6193399792375 0 0
 331.644739833357 40.2443228487232 0 0
 333.810700739 38.4804009805419 0 0
 335.976243445303 33.8311091223525 0 0
 338.141373909504 28.8042782506786 0 0
 340.306098088841 27.1279290170334 0 0
 342.470421940552 23.4038828511543 0 0
 344.634351421875 20.049939245649 0 0
 346.797892490048 19.0392637553479 0 0
 348.961051102309 15.9950811167833 0 0
 351.123833215896 13.7664209692273 0 0
 353.286244788047 13.3024560287751 0 0
 355.448291776 11.4601590367027 0 0
 357.609980136993 10.2005104340386 0 0
 359.771315828264 11.4704809424924 0 0
 361.932304807051 14.4363831241874 0 0
 364.092953030592 18.8456581105871 0 0
 366.253266456125 19.6021377871065 0 0
 368.413251040888 12.6733972090794 0 0
 370.572912742119 7.73428728211434 0 0
 372.732257517056 7.3284263843884 0 0
 374.891291322937 5.32129487784136 0 0
 377.050020117 4.36229289288924 0 0
 379.208449856483 5.13824943552799 0 0
 381.366586498624 3.4770481461004 0 0
 383.524436000661 3.02554871637207 0 0
 385.682004319832 3.94762588285126 0 0
 387.839297413375 2.46102474725483 0 0
 389.996321238528 2.2617188410233 0 0
 392.153081752529 3.31925833747606 0 0
 394.309584912616 1.93209161324036 0 0
 396.465836676027 2.06365875754925 0 0
 398.621843 4.06344966139667 0 0
 400.777609841773 7.21320159850347 0 0
 402.933143158584 15.7209829883176 0 0
 405.088448907671 19.5260375654126 0 0
 407.243533046272 13.5054794394277 0 0
 409.398401531625 7.37191187906453 0 0
 411.553060320968 6.56600225936783 0 0
 413.707515371539 5.91465640985001 0 0
 415.861772640576 8.20709256800114 0 0
 418.015838085317 12.1799426009631 0 0
 420.169717663 15.2847390559145 0 0
 422.323417330863 21.8483513908392 0 0
 424.476943046144 31.1480259739412 0 0
 426.630300766081 41.7835802427197 0 0
 428.783496447912 58.6087407302554 0 0
 430.936536048875 85.0427396670238 0 0
 433.089425526208 132.392597822706 0 0
