[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_15-12-20_000_393
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 15:12:20
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameB
CommentSub1        = con
CommentSub2        = centre
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8375
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 0.0141138704001223 0 0
 281.698514338328 1.47911693903763 0 0
 283.875738026479 -0.106710970447818 0 0
 286.052406498816 0.0127178546917604 0 0
 288.228525712577 1.52682797245237 0 0
 290.404101625 -0.24693548535378 0 0
 292.579140193323 0.103424355543708 0 0
 294.753647374784 1.64137470909595 0 0
 296.927629126621 0.0351596764408732 0 0
 299.101091406072 0.387945065041564 0 0
 301.274040170375 1.43934799001685 0 0
 303.446481376768 0.222040190064168 0 0
 305.618420982489 0.455040530331042 0 0
 307.789864944776 1.54332253213561 0 0
 309.960819220867 0.294955197150422 0 0
 312.131289768 0.916751261558397 0 0
 314.301282543413 2.98726099920139 0 0
 316.470803504344 4.21259422077995 0 0
 318.639858608031 8.97755028595635 0 0
 320.808453811712 14.6998662207753 0 0
 322.976595072625 17.3468897485889 0 0
 325.144288348008 20.3222460035855 0 0
 327.311539595099 22.5558976976382 0 0
 329.478354771136 20.8966280647055 0 0
 331.644739833357 20.9938610948361 0 0
 333.810700739 21.1248684950653 0 0
 335.976243445303 17.9905510543082 0 0
 338.141373909504 16.9890149121241 0 0
 340.306098088841 16.3931547835769 0 0
 342.470421940552 13.2124415030415 0 0
 344.634351421875 12.7523888281198 0 0
 346.797892490048 12.2033144015191 0 0
 348.961051102309 9.42940944557193 0 0
 351.123833215896 9.50705101171561 0 0
 353.286244788047 9.15340792559162 0 0
 355.448291776 7.11552908062064 0 0
 357.609980136993 7.74511108212322 0 0
 359.771315828264 8.28777601026819 0 0
 361.932304807051 10.0606587811529 0 0
 364.092953030592 14.8545801120445 0 0
 366.253266456125 14.9483713045212 0 0
 368.413251040888 8.82434352346092 0 0
 370.572912742119 6.43684641540816 0 0
 372.732257517056 5.32339647949217 0 0
 374.891291322937 3.18224726184499 0 0
 377.050020117 3.98018939495619 0 0
 379.208449856483 4.0452841186827 0 0
 381.366586498624 1.94082838053253 0 0
 383.524436000661 3.16909314640899 0 0
 385.682004319832 3.16959708589199 0 0
 387.839297413375 1.30344327286514 0 0
 389.996321238528 2.78284364171591 0 0
 392.153081752529 2.73506808009463 0 0
 394.309584912616 0.965273144078978 0 0
 396.465836676027 2.68256121829529 0 0
 398.621843 3.1943634014475 0 0
 400.777609841773 5.14410213338644 0 0
 402.933143158584 13.225636837684 0 0
 405.088448907671 15.0507961124473 0 0
 407.243533046272 10.3109365363329 0 0
 409.398401531625 7.11639150795936 0 0
 411.553060320968 5.58547199036786 0 0
 413.707515371539 5.3726645719048 0 0
 415.861772640576 8.58573823004978 0 0
 418.015838085317 11.1468267644362 0 0
 420.169717663 14.5458949126764 0 0
 422.323417330863 21.6112186936324 0 0
 424.476943046144 29.496125818513 0 0
 426.630300766081 39.7265999627028 0 0
 428.783496447912 56.4026921705568 0 0
 430.936536048875 79.9791437529184 0 0
 433.089425526208 122.404456901173 0 0
