[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_15-00-00_000_273
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 15:00:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameB
CommentSub1        = con
CommentSub2        = left
CommentSub3        = 28cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8355
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 0.718964869226578 0 0
 281.698514338328 1.98378910595543 0 0
 283.875738026479 -1.16299332979878 0 0
 286.052406498816 0.991280223027891 0 0
 288.228525712577 2.23458203790781 0 0
 290.404101625 -1.36078471545202 0 0
 292.579140193323 1.20570332837478 0 0
 294.753647374784 2.02188553946523 0 0
 296.927629126621 -0.983097251879373 0 0
 299.101091406072 1.23406905041948 0 0
 301.274040170375 1.824584672962 0 0
 303.446481376768 -0.771850860372468 0 0
 305.618420982489 1.52831604811252 0 0
 307.789864944776 1.78275659235785 0 0
 309.960819220867 -0.591220419159217 0 0
 312.131289768 2.01949764470521 0 0
 314.301282543413 3.49889418413473 0 0
 316.470803504344 4.48626826904864 0 0
 318.639858608031 12.9475002669787 0 0
 320.808453811712 19.0472498117918 0 0
 322.976595072625 22.0155469075246 0 0
 325.144288348008 28.6235010787028 0 0
 327.311539595099 29.7187387804445 0 0
 329.478354771136 27.1468437836672 0 0
 331.644739833357 29.7996556431804 0 0
 333.810700739 27.8243260668578 0 0
 335.976243445303 23.2091987063481 0 0
 338.141373909504 24.0531744976381 0 0
 340.306098088841 21.3391046263782 0 0
 342.470421940552 17.0648403783014 0 0
 344.634351421875 18.3308712772254 0 0
 346.797892490048 15.8441610798086 0 0
 348.961051102309 12.311504531825 0 0
 351.123833215896 13.70709203158 0 0
 353.286244788047 11.7922243276163 0 0
 355.448291776 9.23459840804861 0 0
 357.609980136993 11.1845976579419 0 0
 359.771315828264 10.6003193033679 0 0
 361.932304807051 12.9551153352906 0 0
 364.092953030592 20.6961183198123 0 0
 366.253266456125 19.0988069579988 0 0
 368.413251040888 11.3871465128774 0 0
 370.572912742119 9.99633084546171 0 0
 372.732257517056 6.74270196844929 0 0
 374.891291322937 4.45142447711876 0 0
 377.050020117 7.04529398848416 0 0
 379.208449856483 4.50989933659901 0 0
 381.366586498624 2.81705308582423 0 0
 383.524436000661 5.81542709421833 0 0
 385.682004319832 3.33459039566763 0 0
 387.839297413375 2.10539078143866 0 0
 389.996321238528 5.01904494280121 0 0
 392.153081752529 2.72119182695018 0 0
 394.309584912616 1.66345516976393 0 0
 396.465836676027 4.81985561635971 0 0
 398.621843 3.39604448772578 0 0
 400.777609841773 6.91018451781694 0 0
 402.933143158584 17.9121731835668 0 0
 405.088448907671 18.3553252116723 0 0
 407.243533046272 13.5066674434824 0 0
 409.398401531625 10.2399275242495 0 0
 411.553060320968 6.52739870547019 0 0
 413.707515371539 7.30941035681274 0 0
 415.861772640576 11.9925285802341 0 0
 418.015838085317 13.7202780108943 0 0
 420.169717663 19.0830223274906 0 0
 422.323417330863 28.7050570641274 0 0
 424.476943046144 37.124513747449 0 0
 426.630300766081 51.4020994455012 0 0
 428.783496447912 73.2822933778189 0 0
 430.936536048875 101.729945664835 0 0
 433.089425526208 155.943301499977 0 0
 435.242170837149 217.825791530943 0 0
