[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_15-38-25_000_603
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 15:38:25
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameC
CommentSub1        = UV
CommentSub2        = left
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8405
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 3.07261926460114 0 0
 281.698514338328 3.04281619197463 0 0
 283.875738026479 5.9542033160954 0 0
 286.052406498816 8.77912672711543 0 0
 288.228525712577 10.4353599137518 0 0
 290.404101625 16.5160591942448 0 0
 292.579140193323 21.8332614976969 0 0
 294.753647374784 27.3491244069222 0 0
 296.927629126621 34.8285672371492 0 0
 299.101091406072 40.6396122905691 0 0
 301.274040170375 46.6675269895234 0 0
 303.446481376768 52.0725717597662 0 0
 305.618420982489 55.9040241944723 0 0
 307.789864944776 58.1566509500423 0 0
 309.960819220867 63.1939713196548 0 0
 312.131289768 66.1858341269135 0 0
 314.301282543413 63.5274204091325 0 0
 316.470803504344 59.6853463975278 0 0
 318.639858608031 55.2301690862412 0 0
 320.808453811712 50.5784263286316 0 0
 322.976595072625 49.6815592403263 0 0
 325.144288348008 45.124952471501 0 0
 327.311539595099 40.775256882476 0 0
 329.478354771136 39.1683200903424 0 0
 331.644739833357 34.4631144238267 0 0
 333.810700739 31.1015242692327 0 0
 335.976243445303 29.4366879936292 0 0
 338.141373909504 24.5334811732337 0 0
 340.306098088841 21.5834160895243 0 0
 342.470421940552 20.2703714614544 0 0
 344.634351421875 16.8369043814775 0 0
 346.797892490048 15.0613911237596 0 0
 348.961051102309 14.1850976456814 0 0
 351.123833215896 11.5309513752324 0 0
 353.286244788047 10.3397848865019 0 0
 355.448291776 10.280149365541 0 0
 357.609980136993 8.60177025418266 0 0
 359.771315828264 8.83848399448542 0 0
 361.932304807051 12.9155855796196 0 0
 364.092953030592 15.8187613314944 0 0
 366.253266456125 15.8826280638859 0 0
 368.413251040888 11.3871465128774 0 0
 370.572912742119 6.10777622462693 0 0
 372.732257517056 5.26338907830465 0 0
 374.891291322937 5.25003810622112 0 0
 377.050020117 3.29598962970423 0 0
 379.208449856483 3.72900990407702 0 0
 381.366586498624 3.8600431382521 0 0
 383.524436000661 1.9013542197463 0 0
 385.682004319832 2.82254219291564 0 0
 387.839297413375 3.10003239101218 0 0
 389.996321238528 1.52989668156008 0 0
 392.153081752529 2.54635103733009 0 0
 394.309584912616 2.6207281815429 0 0
 396.465836676027 1.43670116716226 0 0
 398.621843 3.27662805506101 0 0
 400.777609841773 6.95700260753675 0 0
 402.933143158584 12.5970478632227 0 0
 405.088448907671 16.2104524208742 0 0
 407.243533046272 12.1808549184345 0 0
 409.398401531625 6.3211846131298 0 0
 411.553060320968 6.42813242401912 0 0
 413.707515371539 6.96575995467135 0 0
 415.861772640576 8.44693550757373 0 0
 418.015838085317 13.0302234749839 0 0
 420.169717663 17.6015499480913 0 0
 422.323417330863 23.9917013682952 0 0
 424.476943046144 34.344421707255 0 0
 426.630300766081 46.8651760918424 0 0
 428.783496447912 64.512049122907 0 0
 430.936536048875 92.7267155659715 0 0
 433.089425526208 139.869332961748 0 0
 435.242170837149 192.923847585878 0 0
