[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_16-36-40_000_203
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 16:36:40
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameC
CommentSub1        = con
CommentSub2        = right
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8505
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 1.1909410680874 0 0
 281.698514338328 0.220051403437029 0 0
 283.875738026479 0.00767254707548176 0 0
 286.052406498816 1.43700521869435 0 0
 288.228525712577 -0.0849601320767266 0 0
 290.404101625 0.211109563576958 0 0
 292.579140193323 1.43546224470658 0 0
 294.753647374784 -0.0462866356713691 0 0
 296.927629126621 0.412244848150493 0 0
 299.101091406072 1.27816283557298 0 0
 301.274040170375 0.0504072987959208 0 0
 303.446481376768 0.782332617398227 0 0
 305.618420982489 1.23902635444196 0 0
 307.789864944776 0.186885824894396 0 0
 309.960819220867 0.888260579289436 0 0
 312.131289768 1.61553238802184 0 0
 314.301282543413 1.57445572716954 0 0
 316.470803504344 4.81736499708799 0 0
 318.639858608031 9.1743754146331 0 0
 320.808453811712 12.5794185598784 0 0
 322.976595072625 17.9417216697425 0 0
 325.144288348008 20.4131988852781 0 0
 327.311539595099 20.1414074677196 0 0
 329.478354771136 21.5793622424788 0 0
 331.644739833357 20.9005919192232 0 0
 333.810700739 18.7402405348006 0 0
 335.976243445303 18.8932753417502 0 0
 338.141373909504 16.6730236781797 0 0
 340.306098088841 14.3531540663073 0 0
 342.470421940552 14.3791605369832 0 0
 344.634351421875 12.5373481385803 0 0
 346.797892490048 10.800851563598 0 0
 348.961051102309 10.9178750860245 0 0
 351.123833215896 9.33578068228084 0 0
 353.286244788047 7.98556810469555 0 0
 355.448291776 8.55800216086476 0 0
 357.609980136993 7.56200018409552 0 0
 359.771315828264 7.54238414881792 0 0
 361.932304807051 11.5331421799005 0 0
 364.092953030592 14.2957162904664 0 0
 366.253266456125 13.7606973991788 0 0
 368.413251040888 10.4500383242213 0 0
 370.572912742119 6.28989522334173 0 0
 372.732257517056 4.88899507524335 0 0
 374.891291322937 5.39658505162879 0 0
 377.050020117 3.69464634776434 0 0
 379.208449856483 3.25179969531358 0 0
 381.366586498624 4.21759934863726 0 0
 383.524436000661 2.28650808647902 0 0
 385.682004319832 2.4911332172456 0 0
 387.839297413375 3.27997467650483 0 0
 389.996321238528 1.7588544780908 0 0
 392.153081752529 2.19805708340435 0 0
 394.309584912616 2.86754643671669 0 0
 396.465836676027 1.58303602230612 0 0
 398.621843 3.0391220389833 0 0
 400.777609841773 7.05193928946858 0 0
 402.933143158584 12.8264321462419 0 0
 405.088448907671 15.7031027859375 0 0
 407.243533046272 12.3317314333817 0 0
 409.398401531625 6.36358036977057 0 0
 411.553060320968 6.07187676947808 0 0
 413.707515371539 7.0431873600921 0 0
 415.861772640576 8.1172790416931 0 0
 418.015838085317 12.2880708045958 0 0
 420.169717663 16.9043308270075 0 0
 422.323417330863 22.5917944415416 0 0
 424.476943046144 32.5238697358508 0 0
 426.630300766081 44.3179042469705 0 0
 428.783496447912 60.6284932518595 0 0
 430.936536048875 87.3285679934239 0 0
 433.089425526208 132.525373628099 0 0
