[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-11_09-58-55_000_247
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-11 09:58:55
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260611_FrameD
CommentSub1        = UV
CommentSub2        = centre
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8555
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 2.6392479791036 0 0
 281.698514338328 2.42308923052635 0 0
 283.875738026479 5.84405622514704 0 0
 286.052406498816 7.41146240816493 0 0
 288.228525712577 9.26627627526674 0 0
 290.404101625 15.5388964231926 0 0
 292.579140193323 19.2114726364874 0 0
 294.753647374784 24.8032605778328 0 0
 296.927629126621 32.1013653892291 0 0
 299.101091406072 36.7283743750616 0 0
 301.274040170375 42.7757082106136 0 0
 303.446481376768 47.8785699645171 0 0
 305.618420982489 50.7871455235261 0 0
 307.789864944776 53.3594185291608 0 0
 309.960819220867 58.1687071539965 0 0
 312.131289768 60.5888336067377 0 0
 314.301282543413 58.5599273045069 0 0
 316.470803504344 55.1917162656875 0 0
 318.639858608031 49.8965940307264 0 0
 320.808453811712 46.1857852231955 0 0
 322.976595072625 45.344770481845 0 0
 325.144288348008 40.3607539066511 0 0
 327.311539595099 37.0985468055873 0 0
 329.478354771136 35.5181465124432 0 0
 331.644739833357 30.4569812617858 0 0
 333.810700739 28.3483225274001 0 0
 335.976243445303 26.3142213761969 0 0
 338.141373909504 21.5168181931772 0 0
 340.306098088841 19.7917986931198 0 0
 342.470421940552 18.1647775146774 0 0
 344.634351421875 14.6563163366738 0 0
 346.797892490048 13.5973213911495 0 0
 348.961051102309 12.7001016221063 0 0
 351.123833215896 9.97272720155132 0 0
 353.286244788047 9.48925728584931 0 0
 355.448291776 9.20878233502411 0 0
 357.609980136993 7.41958059674064 0 0
 359.771315828264 8.638422109594 0 0
 361.932304807051 12.2172265627639 0 0
 364.092953030592 15.0397390347492 0 0
 366.253266456125 15.8756211381906 0 0
 368.413251040888 10.7688733224316 0 0
 370.572912742119 5.7611221305215 0 0
 372.732257517056 5.79562863666357 0 0
 374.891291322937 4.99996717185574 0 0
 377.050020117 2.91526556678176 0 0
 379.208449856483 4.07327298723187 0 0
 381.366586498624 3.24103278193312 0 0
 383.524436000661 1.84166247656263 0 0
 385.682004319832 3.2236466184047 0 0
 387.839297413375 2.50494766733572 0 0
 389.996321238528 1.19278090752712 0 0
 392.153081752529 2.63793430808347 0 0
 394.309584912616 2.0725462004387 0 0
 396.465836676027 1.16282675937008 0 0
 398.621843 3.3880833922148 0 0
 400.777609841773 5.9894287533274 0 0
 402.933143158584 11.4260474349924 0 0
 405.088448907671 15.1195892832862 0 0
 407.243533046272 10.7837621501044 0 0
 409.398401531625 5.90181037176436 0 0
 411.553060320968 6.16342234014962 0 0
 413.707515371539 6.1575451200055 0 0
 415.861772640576 8.03665098966657 0 0
 418.015838085317 12.5996766277919 0 0
 420.169717663 16.0973730111533 0 0
 422.323417330863 22.5194643910422 0 0
 424.476943046144 32.4697236265111 0 0
 426.630300766081 43.5505288928224 0 0
 428.783496447912 60.5922456064383 0 0
 430.936536048875 86.9668237124976 0 0
 433.089425526208 130.800097766561 0 0
 435.242170837149 181.137023357692 0 0
