[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-11_11-20-55_000_027
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-11 11:20:55
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260611_FrameE
CommentSub1        = UV
CommentSub2        = right
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8685
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 2.89329321542974 0 0
 281.698514338328 3.37229128540282 0 0
 283.875738026479 6.61508586178558 0 0
 286.052406498816 8.7268593009135 0 0
 288.228525712577 11.3121726426157 0 0
 290.404101625 17.6153673116786 0 0
 292.579140193323 21.9854943993155 0 0
 294.753647374784 28.9505548800591 0 0
 296.927629126621 36.3597615707579 0 0
 299.101091406072 41.1758880559495 0 0
 301.274040170375 48.5890689984305 0 0
 303.446481376768 53.5666848993236 0 0
 305.618420982489 56.6396158319097 0 0
 307.789864944776 60.2345965441139 0 0
 309.960819220867 64.5556558032525 0 0
 312.131289768 67.0770332447219 0 0
 314.301282543413 65.6623261535362 0 0
 316.470803504344 60.7409462979927 0 0
 318.639858608031 55.3691044711895 0 0
 320.808453811712 52.3754158717646 0 0
 322.976595072625 50.0865511866436 0 0
 325.144288348008 45.2548851596333 0 0
 327.311539595099 42.6751836207726 0 0
 329.478354771136 39.2486417583157 0 0
 331.644739833357 34.5164110956055 0 0
 333.810700739 32.726801426508 0 0
 335.976243445303 29.2273606226281 0 0
 338.141373909504 24.685156965527 0 0
 340.306098088841 23.2447340389174 0 0
 342.470421940552 20.0111005650229 0 0
 344.634351421875 16.9274478297047 0 0
 346.797892490048 16.4529821567355 0 0
 348.961051102309 13.6438374127895 0 0
 351.123833215896 11.9137909351454 0 0
 353.286244788047 11.8707345676766 0 0
 355.448291776 9.79609799633156 0 0
 357.609980136993 9.41131317177883 0 0
 359.771315828264 10.755205923929 0 0
 361.932304807051 13.152764113646 0 0
 364.092953030592 17.9932496554528 0 0
 366.253266456125 18.3841005370848 0 0
 368.413251040888 11.7581104271449 0 0
 370.572912742119 8.21030866496201 0 0
 372.732257517056 7.09491932324564 0 0
 374.891291322937 4.9112323241777 0 0
 377.050020117 5.00924791285532 0 0
 379.208449856483 4.66103922676455 0 0
 381.366586498624 2.9442469946569 0 0
 383.524436000661 3.66652433960624 0 0
 385.682004319832 3.36019280580523 0 0
 387.839297413375 1.77384357824749 0 0
 389.996321238528 2.99635029860346 0 0
 392.153081752529 2.49639652601006 0 0
 394.309584912616 1.56527332240198 0 0
 396.465836676027 3.00745144714679 0 0
 398.621843 2.82284561093488 0 0
 400.777609841773 5.9504136785609 0 0
 402.933143158584 14.3079251122605 0 0
 405.088448907671 15.9451073333528 0 0
 407.243533046272 11.8600938236648 0 0
 409.398401531625 7.9711816283381 0 0
 411.553060320968 5.71341519757145 0 0
 413.707515371539 6.71756799756924 0 0
 415.861772640576 9.8982404440513 0 0
 418.015838085317 12.6232682358572 0 0
 420.169717663 17.8058909659395 0 0
 422.323417330863 25.474925188662 0 0
 424.476943046144 34.2325789240288 0 0
 426.630300766081 47.5332846678949 0 0
 428.783496447912 66.0142189866376 0 0
 430.936536048875 92.3410747380136 0 0
 433.089425526208 140.350240452012 0 0
 435.242170837149 193.398581352595 0 0
