[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-11_13-39-05_000_933
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-11 13:39:05
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260611_FrameF
CommentSub1        = con
CommentSub2        = left
CommentSub3        = 17cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8827
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 0.935650511975346 0 0
 281.698514338328 0.70511195765076 0 0
 283.875738026479 -0.15472380496377 0 0
 286.052406498816 1.0348364115295 0 0
 288.228525712577 0.884978131715447 0 0
 290.404101625 -0.322549271209012 0 0
 292.579140193323 1.04501304333291 0 0
 294.753647374784 1.02817739972388 0 0
 296.927629126621 -0.0765692633249387 0 0
 299.101091406072 1.18401664565065 0 0
 301.274040170375 0.919510538331822 0 0
 303.446481376768 0.224224565999193 0 0
 305.618420982489 1.2121406951789 0 0
 307.789864944776 1.04521417470897 0 0
 309.960819220867 0.316569236572609 0 0
 312.131289768 1.44561942490432 0 0
 314.301282543413 2.38260359882562 0 0
 316.470803504344 3.55528780127747 0 0
 318.639858608031 7.68339290393804 0 0
 320.808453811712 11.5158669710168 0 0
 322.976595072625 13.5275906992909 0 0
 325.144288348008 16.4531392903135 0 0
 327.311539595099 17.2020917962037 0 0
 329.478354771136 15.6251467443817 0 0
 331.644739833357 16.2267698968421 0 0
 333.810700739 15.6658319230876 0 0
 335.976243445303 13.4144221382576 0 0
 338.141373909504 13.1240910196123 0 0
 340.306098088841 12.1937121892774 0 0
 342.470421940552 9.93881907335088 0 0
 344.634351421875 9.88014944269208 0 0
 346.797892490048 9.29208663288021 0 0
 348.961051102309 7.43322320204349 0 0
 351.123833215896 7.47419533685588 0 0
 353.286244788047 7.21246032410236 0 0
 355.448291776 5.85914686009481 0 0
 357.609980136993 6.37873970268842 0 0
 359.771315828264 7.05083424884278 0 0
 361.932304807051 8.44213489617596 0 0
 364.092953030592 12.4994489366669 0 0
 366.253266456125 12.7645461295063 0 0
 368.413251040888 7.75751919484856 0 0
 370.572912742119 5.80633788192656 0 0
 372.732257517056 5.02075045611161 0 0
 374.891291322937 3.33013867464172 0 0
 377.050020117 3.63533064230903 0 0
 379.208449856483 3.64504329842949 0 0
 381.366586498624 2.12172638420565 0 0
 383.524436000661 2.55796339476666 0 0
 385.682004319832 2.8652128764783 0 0
 387.839297413375 1.38278790268867 0 0
 389.996321238528 2.05242613131117 0 0
 392.153081752529 2.63793430808347 0 0
 394.309584912616 1.1643641123407 0 0
 396.465836676027 1.91195381597809 0 0
 398.621843 3.07760066728639 0 0
 400.777609841773 4.79556746547232 0 0
 402.933143158584 10.6960731420696 0 0
 405.088448907671 13.0631648549952 0 0
 407.243533046272 9.17995667625618 0 0
 409.398401531625 6.0874350359753 0 0
 411.553060320968 5.86562349579642 0 0
 413.707515371539 5.85207809587982 0 0
 415.861772640576 8.6245213436828 0 0
 418.015838085317 12.422739567302 0 0
 420.169717663 16.0973730111533 0 0
 422.323417330863 23.046832860506 0 0
 424.476943046144 32.4697236265111 0 0
 426.630300766081 43.9078892939667 0 0
 428.783496447912 61.1384891932495 0 0
 430.936536048875 86.9668237124976 0 0
 433.089425526208 128.818175988503 0 0
