"","calibrated","sd","Frame","Treatment","TreeNumber","sampling_number"
"1",0.39962865,"0.0374894388031483","A","UV","2","a"
"2",0.4791745,"0.00613056893607762","A","UV","4","a"
"3",0.477262166666667,"0.0229382695629669","A","UV","4","b"
"4",0.376411833333333,"0.00793731408055227","A","UV","6","a"
"5",0.4167413,"0.0224465479031855","A","UV","6","b"
"6",0.4978541,"0.012247000215563","A","CON","1","a"
"7",0.4709238,"0.0337049324730076","A","CON","1","b"
"8",0.397834166666667,"0.0213616888691726","A","CON","2","a"
"9",0.4714748,"0.0272031441930892","A","CON","2","b"
"10",0.466546033333333,"0.0502309896862817","A","CON","4","a"
"11",0.4508512,"0.0141746912992841","A","CON","4","b"
"12",0.3296899,"0.0499677331168825","A","CON","5","a"
"13",0.404967233333333,"0.066052543758839","A","CON","6","a"
"14",0.404127833333333,"0.0596117997917638","A","UV","1","b"
"15",0.411863233333333,"0.0424398066892786","A","UV","2","b"
"16",0.4182316,"0.0212251372139263","A","CON","6","b"
"17",0.456257033333333,"0.0169732565921609","B","UV","1","b"
"18",0.4292736,"0.0431036501608623","B","UV","2","a"
"19",0.428381133333333,"0.00168666186988779","B","UV","2","b"
"20",0.3294563,"0.00599228777596669","B","UV","3","b"
"21",0.4444097,"0.00438822338651988","B","UV","4","a"
"22",0.405268566666667,"0.0133067415080978","B","UV","6","a"
"23",0.427524833333333,"0.0166093360927923","B","UV","6","b"
"24",0.4014752,"0.00968173696967644","B","CON","2","a"
"25",0.440504166666667,"0.0524453286027777","B","CON","2","b"
"26",0.292028933333333,"0.0123184220326036","B","CON","3","a"
"27",0.327824,"0.022024288108586","B","CON","4","a"
"28",0.415489033333333,"0.0215170988342605","B","CON","4","b"
"29",0.398599933333333,"0.0214106123472294","B","CON","5","a"
"30",0.438458066666667,"0.0330807195310703","B","CON","5","b"
"31",0.4037365,"0.017827665208602","B","CON","6","a"
"32",0.359236,"0.0148402323907006","B","CON","6","b"
"33",0.435390266666667,"0.0213307348643532","C","UV","1","b"
"34",0.466696466666667,"0.0201338750672426","C","UV","2","a"
"35",0.520516366666667,"0.109887884832557","C","UV","2","b"
"36",0.318582633333333,"0.0388269631532436","C","UV","3","a"
"37",0.348069,"0.0553917831455172","C","UV","3","b"
"38",0.461526,"0.0118826695119405","C","UV","4","a"
"39",0.423826366666667,"0.0168951321913542","C","UV","4","b"
"40",0.413146033333333,"0.0397647878986338","C","UV","5","b"
"41",0.373977966666667,"0.029429814898727","C","UV","6","a"
"42",0.3967293,"0.0208726679863883","C","UV","6","b"
"43",0.4328131,"0.00954169847301829","C","CON","2","a"
"44",0.4190001,"0.0230583078540035","C","CON","2","b"
"45",0.325629033333333,"0.0362173253816917","C","CON","3","a"
"46",0.439728633333333,"0.0331388779394133","C","CON","4","a"
"47",0.463044066666667,"0.0584080189494844","C","CON","5","b"
"48",0.3424172,"0.0562573373700711","C","CON","6","a"
"49",0.409062766666667,"0.0222589008219933","C","CON","6","b"
