"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","Sample_Dup","FTIR_Dup","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio"
"1",2025,2024,"GH","Pmu","cul","C","UV",25,"1",1,0.5836155,0.5790359,0.020623696,1168,1169,0.000855431993156544
"2",2025,2024,"GH","Pmu","cul","C","UV",25,"1",2,0.6167116,0.5790359,0.020623696,1168,1169,0.000855431993156544
"3",2025,2024,"GH","Pmu","cul","C","UV",25,"1",3,0.5984969,0.5790359,0.020623696,1168,1169,0.000855431993156544
"16",2025,2025,"GH","Pmu","cul","B","CON",16,"1",1,0.6387029,0.6154658,0.02551734,1082,1086,0.00368324125230203
"17",2025,2025,"GH","Pmu","cul","B","CON",16,"1",2,0.6325346,0.6154658,0.02551734,1082,1086,0.00368324125230203
"18",2025,2025,"GH","Pmu","cul","B","CON",16,"1",3,0.6277321,0.6154658,0.02551734,1082,1086,0.00368324125230203
"19",2025,2025,"GH","Pmu","cul","B","CON",20,"1",1,0.6144515,0.6184151,0.024336795,1025,1031,0.005819592628516
"20",2025,2025,"GH","Pmu","cul","B","CON",20,"1",2,0.5692734,0.6184151,0.024336795,1025,1031,0.005819592628516
"21",2025,2025,"GH","Pmu","cul","B","CON",20,"1",3,0.573148,0.6184151,0.024336795,1025,1031,0.005819592628516
"23",2025,2025,"GH","Pmu","cul","B","UV",13,"1",2,0.6419207,0.6230438,0.032842094,1096,1100,0.00363636363636364
"24",2025,2025,"GH","Pmu","cul","B","UV",13,"1",3,0.6016696,0.6230438,0.032842094,1096,1100,0.00363636363636364
"25",2025,2025,"GH","Pmu","cul","B","UV",14,"1",1,0.6480604,0.6605053,0.072941446,1030,1031,0.000969932104752667
"26",2025,2025,"GH","Pmu","cul","B","UV",14,"1",2,0.5979282,0.6605053,0.072941446,1030,1031,0.000969932104752667
"27",2025,2025,"GH","Pmu","cul","B","UV",14,"1",3,0.5758924,0.6605053,0.072941446,1030,1031,0.000969932104752667
"28",2025,2025,"GH","Pmu","cul","B","UV",15,"1",1,0.5335792,0.6375715,0.024630608,1050,1056,0.00568181818181818
"30",2025,2025,"GH","Pmu","cul","B","UV",15,"1",3,0.5294992,0.6375715,0.024630608,1050,1056,0.00568181818181818
"31",2025,2025,"GH","Pmu","cul","C","CON",26,"1",1,0.5836909,0.590243,0.033504483,1023,1034,0.0106382978723404
"32",2025,2025,"GH","Pmu","cul","C","CON",26,"1",2,0.6328733,0.590243,0.033504483,1023,1034,0.0106382978723404
"33",2025,2025,"GH","Pmu","cul","C","CON",26,"1",3,0.6197175,0.590243,0.033504483,1023,1034,0.0106382978723404
"34",2025,2025,"GH","Pmu","cul","C","UV",21,"1",1,0.6316248,0.6159717,0.009877563,1078,1082,0.00369685767097967
