"","Exp_Year","Sample_Year","Location","Species","Materials","Group","Treatment","Sample_ID","PLS","GCMS","GCMS_SD","Normal","Total","Mal_Ratio","PLS _SD"
"1","2025","2024","GH","Pmu","cul","C","UV","25",0.5796505,0.5790359,0.020623696,1168,1169,0.000855431993156544,0.0421471604714561
"2","2025","2025","GH","Pmu","cul","B","CON","16",0.632989866666667,0.6154658,0.02551734,1082,1086,0.00368324125230203,0.00549955125108704
"3","2025","2025","GH","Pmu","cul","B","CON","20",0.5856243,0.6184151,0.024336795,1025,1031,0.005819592628516,0.0250401422953225
"4","2025","2025","GH","Pmu","cul","B","UV","13",0.62179515,0.6230438,0.032842094,1096,1100,0.00363636363636364,0.0284618257602178
"5","2025","2025","GH","Pmu","cul","B","UV","14",0.607293666666667,0.6605053,0.072941446,1030,1031,0.000969932104752667,0.0369843078942047
"6","2025","2025","GH","Pmu","cul","B","UV","15",0.5315392,0.6375715,0.024630608,1050,1056,0.00568181818181818,0.00288499566724117
"7","2025","2025","GH","Pmu","cul","C","CON","26",0.6120939,0.590243,0.033504483,1023,1034,0.0106382978723404,0.0254620614868474
"8","2025","2025","GH","Pmu","cul","C","UV","21",0.601521966666667,0.6159717,0.009877563,1078,1082,0.00369685767097967,0.0281098533717864
"9","2025","2025","GH","Pmu","cul","C","UV","24",0.5803059,0.585047,0.024555511,1023,1024,0.0009765625,0.00659572274205036
"10","2025","2025","GH","Pmu","cul","C","UV","25",0.5796505,0.5790359,0.020623696,1168,1169,0.000855431993156544,0.0421471604714561
"11","2025","2025","GH","Pmu","cul","D","CON","37",0.602326133333333,0.5772711,0.034835416,1038,1045,0.00669856459330144,0.00288833880341852
"12","2025","2025","GH","Pmu","cul","D","CON","38",0.6044964,0.638744,0.044601817,1026,1026,0,0.00641154628073446
"13","2025","2025","GH","Pmu","cul","D","CON","40",0.616775233333333,0.6314011,0.027182617,1035,1037,0.00192864030858245,0.00387420211441443
"14","2025","2025","GH","Pmu","cul","D","UV","34",0.5857654,0.6086389,0.033324026,1001,1003,0.00199401794616152,0.0204465272799564
"15","2025","2025","GH","Pmu","cul","E","CON","49",0.545503866666667,0.59674,0.0484291,1089,1096,0.00638686131386861,0.00778407359570381
"16","2025","2025","GH","Pmu","cul","E","UV","42",0.599855,0.5818801,0.037998861,1059,1061,0.00188501413760603,0.0199989679981243
"17","2025","2025","GH","Pmu","cul","E","UV","43",0.606555966666667,0.5804801,0.045858622,1036,1045,0.00861244019138756,0.0123588411885311
"18","2025","2025","GH","Pmu","cul","E","UV","44",0.564494666666667,0.6126813,0.054172086,1012,1012,0,0.00391496109474071
"19","2025","2025","GH","Pmu","cul","F","CON","60",0.5977408,0.5591189,0.034261385,1019,1020,0.000980392156862745,0.00354974911366984
"20","2025","2025","GH","Pmu","cul","F","UV","52",0.570765433333333,0.5569529,0.024044742,1006,1008,0.00198412698412698,0.0127963945134297
"21","2025","2025","GH","Pmu","cul","F","UV","53",0.573113466666667,0.6543281,0.051618179,1094,1094,0,0.00288977535516744
"22","2025","2025","GH","Pmu","cut","A","CON"," 1",0.381117133333333,0.4709238,0.033704932,552,553,0.00180831826401447,0.0131669933763685
"23","2025","2025","GH","Pmu","cut","A","CON"," 2",0.421987433333333,0.4346545,0.0242824165,572,578.5,0.0111305361305361,0.0321197597527545
