"","Group","UV_Mean","CON_Mean","Sig","Mark"
"1","GCMS","0.449771790547264","0.448931953333333","0.479041310230299",""
"2","GCMSSubUV","0.605783694871795","0.412213369135802","1.65549485829208e-16","***"
"3","GCMSSubCON","0.609537705555556","0.412568386792453","2.62966565880237e-13","***"
"4","GCMSCut","0.412213369135802","0.412568386792453","0.513924716938826",""
"5","GCMSCul","0.605783694871795","0.609537705555556","0.602256953327598",""
"6","GCMSPlant1","0.439741952083333","0.480653177777778","0.981013447681275",""
"7","GCMSPlant2","0.427809943055556","0.4269086","0.471712539831887",""
"8","GCMSPlant3","0.34245035","0.327558233333333","0.156342719192201",""
"9","GCMSPlant4","0.448874313333333","0.446719455","0.456402123224697",""
"10","GCMSPlant5","0.435725020833333","0.410653271428571","0.258198660743748",""
"11","GCMSPlant6","0.390379148484848","0.393088865151515","0.606063904714154",""
"12","FTIRPLS","0.447787586338798","0.441370230864198","0.226874150728121",""
"13","FTIRPLSSubUV","0.585551002857143","0.4152084","1.17417072465044e-40","***"
"14","FTIRPLSSubCON","0.5996938125","0.413835694927536","4.36149525847287e-33","***"
"15","FTIRPLSCut","0.4152084","0.413835694927536","0.39883452172821",""
"16","FTIRPLSCul","0.585551002857143","0.5996938125","0.969481919893004",""
"17","FTIRPLSPlant1","0.418825635294118","0.439604344444444","0.8287444272431",""
"18","FTIRPLSPlant2","0.423516555555556","0.418596961290323","0.237638941493247",""
"19","FTIRPLSPlant3","0.364427488888889","0.330341642105263","0.00581596358492341","***"
"20","FTIRPLSPlant4","0.438225456666667","0.448173048148148","0.875639360501545",""
"21","FTIRPLSPlant5","0.441820166666667","0.425218595238095","0.0246475536817763","**"
"22","FTIRPLSPlant6","0.417983586206897","0.415149258064516","0.374917467213273",""
